participant_id,stain_id,brain_region,label
A20-099,,L24A,A20-099_L24A_None
A20-099,LB509,L24A,A20-099_L24A_LB509
A20-099,,L1,A20-099_L1_None
A20-099,10D5,L1,A20-099_L1_10D5
A20-099,PHF-1,L11,A20-099_L11_PHF-1
A20-099,LB509,L11,A20-099_L11_LB509
A20-099,TDP-43,L1,A20-099_L1_TDP-43
A20-099,,L19,A20-099_L19_None
A20-099,10D5,L19,A20-099_L19_10D5
A20-099,PHF-1,L19,A20-099_L19_PHF-1
A20-099,LB509,L19,A20-099_L19_LB509
A20-099,TDP-43,L19,A20-099_L19_TDP-43
A20-099,,L21,A20-099_L21_None
A20-099,10D5,L21,A20-099_L21_10D5
420-099,PHF-1,L21,420-099_L21_PHF-1
420-099,LB509,L21,420-099_L21_LB509
A20-099,TDP-43,L21,A20-099_L21_TDP-43
A20-099,,L2,A20-099_L2_None
420-099,10D5,L2,420-099_L2_10D5
A20-099,PHF-1,L21,A20-099_L21_PHF-1
A20-099,LB509,L2,A20-099_L2_LB509
A20-099,,L3,A20-099_L3_None
A20-099,10D5,L3,A20-099_L3_10D5
A20-099,TDP-43,L2,A20-099_L2_TDP-43
A20-099,PHF-1,L31,A20-099_L31_PHF-1
A20-099,LB509,L31,A20-099_L31_LB509
A20-099,TDP-43,L3,A20-099_L3_TDP-43
A20-099,,L4,A20-099_L4_None
A20-099,10D5,L4,A20-099_L4_10D5
A20-099,PHF-1,L41,A20-099_L41_PHF-1
A20-099,,L41,A20-099_L41_None
A20-099,TDP-43,L9,A20-099_L9_TDP-43
A20-099,,L11,A20-099_L11_None
A20-099,10D5,L11,A20-099_L11_10D5
420-099,PHF-1,L11,420-099_L11_PHF-1
A20-099,LB509,L114,A20-099_L114_LB509
A20-099,TDP-43,L11,A20-099_L11_TDP-43
A20-099,,L12,A20-099_L12_None
A20-099,10D5,L12,A20-099_L12_10D5
A20-099,PHF-1,L121,A20-099_L121_PHF-1
A20-099,LB509,L12,A20-099_L12_LB509
A20-099,TDP-43,L12,A20-099_L12_TDP-43
A20-099,,L12,A20-099_L12_None
A20-099,10D5,L12,A20-099_L12_10D5
A20-099,PHF-1,L12,A20-099_L12_PHF-1
420-099,LB509,L12,420-099_L12_LB509
A20-099,TDP-43,L12,A20-099_L12_TDP-43
A20-099,,L14,A20-099_L14_None
A20-099,10D5,L14,A20-099_L14_10D5
A20-099,PHF-1,L141,A20-099_L141_PHF-1
A20-099,TDP-43,L14,A20-099_L14_TDP-43
A20-099,,L30,A20-099_L30_None
A20-099,10D5,L30,A20-099_L30_10D5
A20-099,PHF-1,L30,A20-099_L30_PHF-1
A20-099,,L30,A20-099_L30_None
A20-099,TDP-43,L30,A20-099_L30_TDP-43
A20-099,LB509,L41,A20-099_L41_LB509
A20-099,TDP-43,L4,A20-099_L4_TDP-43
A20-099,,L23,A20-099_L23_None
A20-099,10D5,L23,A20-099_L23_10D5
A20-099,PHF-1,L23,A20-099_L23_PHF-1
A20-099,LB509,L23,A20-099_L23_LB509
A20-099,TDP-43,L23,A20-099_L23_TDP-43
A20-099,,L23,A20-099_L23_None
A20-099,10D5,L5,A20-099_L5_10D5
A20-099,PHF-1,L5,A20-099_L5_PHF-1
A20-099,,L5,A20-099_L5_None
A20-099,TDP-43,L5,A20-099_L5_TDP-43
A20-099,,L6,A20-099_L6_None
A20-099,10D5,L6,A20-099_L6_10D5
A20-099,PHF-1,L61,A20-099_L61_PHF-1
A20-099,LB509,L6,A20-099_L6_LB509
A20-099,TDP-43,L6,A20-099_L6_TDP-43
A20-099,10D5,L17,A20-099_L17_10D5
A20-099,10D5,L17,A20-099_L17_10D5
A20-099,PHF-1,L17,A20-099_L17_PHF-1
A20-099,LB509,L17,A20-099_L17_LB509
A20-099,TDP-43,L17,A20-099_L17_TDP-43
A20-099,,L8,A20-099_L8_None
920-099,10D5,L8,920-099_L8_10D5
A20-099,PHF-1,L81,A20-099_L81_PHF-1
A20-099,LB509,L8,A20-099_L8_LB509
A20-099,TDP-43,L8,A20-099_L8_TDP-43
A20-099,,L9,A20-099_L9_None
A20-099,10D5,L9,A20-099_L9_10D5
A20-099,PHF-1,L91,A20-099_L91_PHF-1
